orf_id	gene	transcript	orf_biotype	final_tier	is_peptidein	strand	chrom	n_exons	length_aa	length_bp	intervals_1based	intervals_0based	min_start_0based	max_end_0based	span_bp
c1riboseqorf37	LUZP1	ENST00000302291	uORF	2B	False	-	chr1	2	39	120	chr1:23094264-23094380+chr1:23109022-23109024	chr1:23094263-23094380;chr1:23109021-23109024	23094263	23109024	14761
c1riboseqorf38	LUZP1	ENST00000302291	uORF	2B	False	-	chr1	1	16	51	chr1:23094326-23094376	chr1:23094325-23094376	23094325	23094376	51
c1riboseqorf39	HNRNPR	ENST00000302271	intORF	1B	True	-	chr1	2	45	138	chr1:23337831-23337861+chr1:23338490-23338596	chr1:23337830-23337861;chr1:23338489-23338596	23337830	23338596	766
c1riboseqorf40	NIPAL3	ENST00000374399	uORF	4	False	+	chr1	2	68	207	chr1:24415815-24415904+chr1:24419291-24419407	chr1:24415814-24415904;chr1:24419290-24419407	24415814	24419407	3593
c1riboseqorf41	nan	nan	mixed	2B	False	+	chr1	1	18	57	chr1:25338329-25338385	chr1:25338328-25338385	25338328	25338385	57
c1riboseqorf42	PAFAH2	ENST00000374282	uoORF	4	False	-	chr1	1	19	60	chr1:25990762-25990821	chr1:25990761-25990821	25990761	25990821	60
c1riboseqorf43	EXTL1	ENST00000374280	uORF	2B	False	+	chr1	1	105	318	chr1:26022216-26022533	chr1:26022215-26022533	26022215	26022533	318
c1riboseqorf44	PDIK1L	ENST00000374269	uORF	4	False	+	chr1	1	16	51	chr1:26111864-26111914	chr1:26111863-26111914	26111863	26111914	51
c1riboseqorf45	FAM110D	ENST00000374268	uORF	4	False	+	chr1	2	28	87	chr1:26159119-26159126+chr1:26161212-26161290	chr1:26159118-26159126;chr1:26161211-26161290	26159118	26161290	2172
c1riboseqorf46	ARID1A	ENST00000324856	uORF	4	False	+	chr1	1	37	114	chr1:26696118-26696231	chr1:26696117-26696231	26696117	26696231	114
c1riboseqorf47	PIGV	ENST00000674202	uORF	2B	False	+	chr1	2	63	192	chr1:26788085-26788268+chr1:26790759-26790766	chr1:26788084-26788268;chr1:26790758-26790766	26788084	26790766	2682
c1riboseqorf48	AHDC1	ENST00000642416	uORF	4	False	-	chr1	3	87	264	chr1:27558734-27558883+chr1:27603397-27603494+chr1:27604160-27604175	chr1:27558733-27558883;chr1:27603396-27603494;chr1:27604159-27604175	27558733	27604175	45442
c1riboseqorf49	RPA2	ENST00000373909	uoORF	1B	False	-	chr1	1	27	84	chr1:27914632-27914715	chr1:27914631-27914715	27914631	27914715	84
c1riboseqorf50	EYA3	ENST00000540618	uORF	4	False	-	chr1	2	37	114	chr1:28058088-28058094+chr1:28088524-28088630	chr1:28058087-28058094;chr1:28088523-28088630	28058087	28088630	30543
c1riboseqorf51	SESN2	ENST00000253063	uORF	4	False	+	chr1	1	19	60	chr1:28259539-28259598	chr1:28259538-28259598	28259538	28259598	60
c1riboseqorf52	SNHG3	ENST00000413987	lncRNA-ORF	1B	False	+	chr1	1	29	90	chr1:28509190-28509279	chr1:28509189-28509279	28509189	28509279	90
c1riboseqorf53	SNHG12	ENST00000481220	lncRNA-ORF	4	False	-	chr1	1	49	150	chr1:28581593-28581742	chr1:28581592-28581742	28581592	28581742	150
c1riboseqorf54	MATN1-AS1	ENST00000414532	lncRNA-ORF	4	False	+	chr1	1	53	162	chr1:30718866-30719027	chr1:30718865-30719027	30718865	30719027	162
c1riboseqorf55	nan	nan	mixed	1B	False	-	chr1	2	39	120	chr1:31919563-31919658+chr1:31937987-31938010	chr1:31919562-31919658;chr1:31937986-31938010	31919562	31938010	18448
c1riboseqorf56	YARS1	ENST00000373477	uORF	4	False	-	chr1	1	17	54	chr1:32817300-32817353	chr1:32817299-32817353	32817299	32817353	54
c1riboseqorf57	nan	nan	mixed	4	False	-	chr1	1	241	726	chr1:32817375-32818100	chr1:32817374-32818100	32817374	32818100	726
c1riboseqorf58	TRIM62	ENST00000291416	uORF	4	False	-	chr1	1	115	348	chr1:33181557-33181904	chr1:33181556-33181904	33181556	33181904	348
c1riboseqorf59	PHC2	ENST00000373418	uORF	2B	False	-	chr1	1	36	111	chr1:33349633-33349743	chr1:33349632-33349743	33349632	33349743	111
c1riboseqorf60	GJB3	ENST00000373366	uORF	4	False	+	chr1	1	34	105	chr1:34781522-34781626	chr1:34781521-34781626	34781521	34781626	105
c1riboseqorf61	SMIM12	ENST00000521580	dORF	2B	False	-	chr1	1	175	528	chr1:34855117-34855644	chr1:34855116-34855644	34855116	34855644	528
c1riboseqorf62	SMIM12	ENST00000521580	doORF	4	False	-	chr1	1	50	153	chr1:34855547-34855699	chr1:34855546-34855699	34855546	34855699	153
c1riboseqorf63	ZMYM6	ENST00000357182	uORF	1B	False	-	chr1	2	40	123	chr1:35030649-35030713+chr1:35031815-35031872	chr1:35030648-35030713;chr1:35031814-35031872	35030648	35031872	1224
c1riboseqorf64	KIAA0319L	ENST00000325722	uORF	4	False	-	chr1	1	18	57	chr1:35557213-35557269	chr1:35557212-35557269	35557212	35557269	57
c1riboseqorf65	NCDN	ENST00000373243	uORF	4	False	+	chr1	1	60	183	chr1:35557952-35558134	chr1:35557951-35558134	35557951	35558134	183
c1riboseqorf66	AGO3	ENST00000373191	uORF	4	False	+	chr1	1	20	63	chr1:35931166-35931228	chr1:35931165-35931228	35931165	35931228	63
c1riboseqorf67	AGO3	ENST00000373191	uoORF	2B	False	+	chr1	2	31	96	chr1:35931423-35931445+chr1:35945692-35945764	chr1:35931422-35931445;chr1:35945691-35945764	35931422	35945764	14342
c1riboseqorf68	MAP7D1	ENST00000474796	uORF	4	False	+	chr1	1	17	54	chr1:36156334-36156387	chr1:36156333-36156387	36156333	36156387	54
c1riboseqorf69	THRAP3	ENST00000354618	uORF	2B	False	+	chr1	1	31	96	chr1:36259388-36259483	chr1:36259387-36259483	36259387	36259483	96
c1riboseqorf70	STK40	ENST00000373132	uORF	4	False	-	chr1	1	20	63	chr1:36385831-36385893	chr1:36385830-36385893	36385830	36385893	63
c1riboseqorf71	LSM10	ENST00000315732	uoORF	1B	False	-	chr1	2	24	75	chr1:36394089-36394153+chr1:36397767-36397776	chr1:36394088-36394153;chr1:36397766-36397776	36394088	36397776	3688
c1riboseqorf72	LSM10	ENST00000315732	uORF	2B	False	-	chr1	1	18	57	chr1:36397812-36397868	chr1:36397811-36397868	36397811	36397868	57
c1riboseqorf73	ZC3H12A-DT	ENST00000424989	lncRNA-ORF	2B	False	-	chr1	1	80	243	chr1:37455588-37455830	chr1:37455587-37455830	37455587	37455830	243
c1riboseqorf74	ZC3H12A	ENST00000373087	uORF	2B	False	+	chr1	2	23	72	chr1:37474593-37474629+chr1:37475459-37475493	chr1:37474592-37474629;chr1:37475458-37475493	37474592	37475493	901
c1riboseqorf75	C1orf109	ENST00000358011	uoORF	4	False	-	chr1	2	23	72	chr1:37689877-37689883+chr1:37690334-37690398	chr1:37689876-37689883;chr1:37690333-37690398	37689876	37690398	522
c1riboseqorf76	MTF1	ENST00000373036	uORF	2B	False	-	chr1	2	31	96	chr1:37857672-37857709+chr1:37859531-37859588	chr1:37857671-37857709;chr1:37859530-37859588	37857671	37859588	1917
c1riboseqorf77	MACF1	ENST00000530275	uORF	2B	False	+	chr1	1	43	132	chr1:39409619-39409750	chr1:39409618-39409750	39409618	39409750	132
c1riboseqorf78	ZMPSTE24-DT	ENST00000567508	lncRNA-ORF	4	False	-	chr1	1	29	90	chr1:40257530-40257619	chr1:40257529-40257619	40257529	40257619	90
c1riboseqorf79	ZFP69	ENST00000372705	uORF	4	False	+	chr1	1	43	132	chr1:40477631-40477762	chr1:40477630-40477762	40477630	40477762	132
c1riboseqorf80	CTPS1	ENST00000650070	uORF	4	False	+	chr1	1	26	81	chr1:40979737-40979817	chr1:40979736-40979817	40979736	40979817	81
c1riboseqorf81	SCMH1	ENST00000695335	uORF	2B	False	-	chr1	1	23	72	chr1:41186179-41186250	chr1:41186178-41186250	41186178	41186250	72
c1riboseqorf82	ERMAP	ENST00000372517	uORF	4	False	+	chr1	2	39	120	chr1:42817144-42817253+chr1:42825623-42825632	chr1:42817143-42817253;chr1:42825622-42825632	42817143	42825632	8489
c1riboseqorf83	TMEM125	ENST00000439858	uORF	4	False	+	chr1	2	40	123	chr1:43272304-43272339+chr1:43272578-43272664	chr1:43272303-43272339;chr1:43272577-43272664	43272303	43272664	361
c1riboseqorf84	PTPRF	ENST00000359947	uORF	4	False	+	chr1	2	27	84	chr1:43531063-43531090+chr1:43538198-43538253	chr1:43531062-43531090;chr1:43538197-43538253	43531062	43538253	7191
c1riboseqorf85	ST3GAL3	ENST00000347631	uORF	4	False	+	chr1	2	50	153	chr1:43707550-43707693+chr1:43736233-43736241	chr1:43707549-43707693;chr1:43736232-43736241	43707549	43736241	28692
c1riboseqorf86	IPO13	ENST00000372343	uORF	4	False	+	chr1	1	19	60	chr1:43947467-43947526	chr1:43947466-43947526	43947466	43947526	60
c1riboseqorf87	DPH2	ENST00000255108	uORF	4	False	+	chr1	1	25	78	chr1:43970020-43970097	chr1:43970019-43970097	43970019	43970097	78
c1riboseqorf88	MUTYH	ENST00000372098	uoORF	4	False	-	chr1	1	40	123	chr1:45340251-45340373	chr1:45340250-45340373	45340250	45340373	123
c1riboseqorf89	TESK2	ENST00000372086	uORF	4	False	-	chr1	1	29	90	chr1:45490960-45491049	chr1:45490959-45491049	45490959	45491049	90
c1riboseqorf90	AKR1A1	ENST00000372070	uORF	4	False	+	chr1	1	19	60	chr1:45552483-45552542	chr1:45552482-45552542	45552482	45552542	60
c1riboseqorf91	GPBP1L1	ENST00000355105	uORF	4	False	-	chr1	1	21	66	chr1:45660367-45660432	chr1:45660366-45660432	45660366	45660432	66
c1riboseqorf92	GPBP1L1	ENST00000355105	uORF	2B	False	-	chr1	1	16	51	chr1:45660498-45660548	chr1:45660497-45660548	45660497	45660548	51
c1riboseqorf93	LINC00853	ENST00000429328	lncRNA-ORF	4	False	+	chr1	2	24	75	chr1:47179429-47179438+chr1:47179868-47179932	chr1:47179428-47179438;chr1:47179867-47179932	47179428	47179932	504
c1riboseqorf94	CDKN2C	ENST00000262662	uORF	1A	True	+	chr1	1	180	543	chr1:50968788-50969330	chr1:50968787-50969330	50968787	50969330	543
c1riboseqorf95	CDKN2C	ENST00000262662	uORF	4	False	+	chr1	1	46	141	chr1:50969471-50969611	chr1:50969470-50969611	50969470	50969611	141
c1riboseqorf96	RNF11	ENST00000242719	uORF	4	False	+	chr1	1	34	105	chr1:51236327-51236431	chr1:51236326-51236431	51236326	51236431	105
c1riboseqorf97	RNF11	ENST00000242719	uORF	2B	False	+	chr1	1	16	51	chr1:51236594-51236644	chr1:51236593-51236644	51236593	51236644	51
c1riboseqorf98	OSBPL9	ENST00000428468	intORF	4	False	+	chr1	3	17	54	chr1:51746744-51746757+chr1:51748369-51748398+chr1:51750145-51750154	chr1:51746743-51746757;chr1:51748368-51748398;chr1:51750144-51750154	51746743	51750154	3411
c1riboseqorf99	ZFYVE9	ENST00000287727	uORF	4	False	+	chr1	2	67	204	chr1:52142220-52142403+chr1:52216369-52216388	chr1:52142219-52142403;chr1:52216368-52216388	52142219	52216388	74169
c1riboseqorf100	ZFYVE9	ENST00000287727	uORF	2B	False	+	chr1	2	41	126	chr1:52142374-52142403+chr1:52216369-52216464	chr1:52142373-52142403;chr1:52216368-52216464	52142373	52216464	74091
c1riboseqorf101	nan	nan	mixed	4	False	-	chr1	1	43	132	chr1:53838276-53838407	chr1:53838275-53838407	53838275	53838407	132
c1riboseqorf102	YIPF1	ENST00000072644	uORF	4	False	-	chr1	1	36	111	chr1:53889353-53889463	chr1:53889352-53889463	53889352	53889463	111
c1riboseqorf103	CYB5RL	ENST00000534324	uoORF	4	False	-	chr1	2	33	102	chr1:54195616-54195715+chr1:54196369-54196370	chr1:54195615-54195715;chr1:54196368-54196370	54195615	54196370	755
c1riboseqorf104	TTC4	ENST00000371281	dORF	4	False	+	chr1	1	19	60	chr1:54741739-54741798	chr1:54741738-54741798	54741738	54741798	60
c1riboseqorf105	PCSK9	ENST00000302118	uORF	4	False	+	chr1	1	17	54	chr1:55039566-55039619	chr1:55039565-55039619	55039565	55039619	54
c1riboseqorf106	USP1	ENST00000339950	uORF	4	False	+	chr1	2	53	162	chr1:62437245-62437400+chr1:62439799-62439804	chr1:62437244-62437400;chr1:62439798-62439804	62437244	62439804	2560
c1riboseqorf107	FOXD3-AS1	ENST00000418244	lncRNA-ORF	2B	False	-	chr1	2	58	177	chr1:63321043-63321190+chr1:63321367-63321395	chr1:63321042-63321190;chr1:63321366-63321395	63321042	63321395	353
c1riboseqorf108	FOXD3-AS1	ENST00000431294	lncRNA-ORF	4	False	-	chr1	3	61	186	chr1:63321182-63321190+chr1:63321367-63321463+chr1:63323491-63323570	chr1:63321181-63321190;chr1:63321366-63321463;chr1:63323490-63323570	63321181	63323570	2389
c1riboseqorf109	ROR1	ENST00000371079	uoORF	4	False	+	chr1	2	56	171	chr1:63774363-63774508+chr1:64009305-64009329	chr1:63774362-63774508;chr1:64009304-64009329	63774362	64009329	234967
c1riboseqorf110	SGIP1	ENST00000371037	uoORF	2B	False	+	chr1	2	27	84	chr1:66534343-66534368+chr1:66625847-66625904	chr1:66534342-66534368;chr1:66625846-66625904	66534342	66625904	91562
c1riboseqorf111	ANKRD13C	ENST00000370944	uORF	4	False	-	chr1	1	23	72	chr1:70354488-70354559	chr1:70354487-70354559	70354487	70354559	72
c1riboseqorf112	LRRIQ3	ENST00000354431	uORF	4	False	-	chr1	1	38	117	chr1:74198019-74198135	chr1:74198018-74198135	74198018	74198135	117
c1riboseqorf113	TYW3	ENST00000370867	uORF	4	False	+	chr1	1	18	57	chr1:74733177-74733233	chr1:74733176-74733233	74733176	74733233	57
c1riboseqorf114	TYW3	ENST00000370867	uoORF	4	False	+	chr1	1	38	117	chr1:74733208-74733324	chr1:74733207-74733324	74733207	74733324	117
c1riboseqorf115	ST6GALNAC3	ENST00000328299	uORF	4	False	+	chr1	1	20	63	chr1:76074758-76074820	chr1:76074757-76074820	76074757	76074820	63
c1riboseqorf116	PRKACB-DT	ENST00000605506	lncRNA-ORF	2B	False	-	chr1	1	28	87	chr1:84077349-84077435	chr1:84077348-84077435	84077348	84077435	87
c1riboseqorf117	GNG5	ENST00000370645	dORF	4	False	-	chr1	2	22	69	chr1:84498495-84498548+chr1:84501826-84501840	chr1:84498494-84498548;chr1:84501825-84501840	84498494	84501840	3346
c1riboseqorf118	DDAH1	ENST00000426972	uORF	4	False	-	chr1	2	23	72	chr1:85496228-85496281+chr1:85577984-85578001	chr1:85496227-85496281;chr1:85577983-85578001	85496227	85578001	81774
c1riboseqorf119	SELENOF	ENST00000648872	lncRNA-ORF	4	False	-	chr1	1	32	99	chr1:86914150-86914248	chr1:86914149-86914248	86914149	86914248	99
c1riboseqorf120	LRRC8D	ENST00000337338	uORF	1B	False	+	chr1	1	68	207	chr1:89821053-89821259	chr1:89821052-89821259	89821052	89821259	207
c1riboseqorf121	EVI5	ENST00000370331	intORF	1B	False	-	chr1	1	55	168	chr1:92736416-92736583	chr1:92736415-92736583	92736415	92736583	168
c1riboseqorf122	DIPK1A	ENST00000370310	uoORF	2B	False	-	chr1	2	63	192	chr1:92876306-92876430+chr1:92961376-92961442	chr1:92876305-92876430;chr1:92961375-92961442	92876305	92961442	85137
c1riboseqorf123	MTF2	ENST00000370298	intORF	4	False	+	chr1	1	18	57	chr1:93110328-93110384	chr1:93110327-93110384	93110327	93110384	57
c1riboseqorf124	DR1	ENST00000370272	uORF	2B	False	+	chr1	1	23	72	chr1:93346150-93346221	chr1:93346149-93346221	93346149	93346221	72
c1riboseqorf125	BCAR3	ENST00000260502	uORF	4	False	-	chr1	1	22	69	chr1:93681656-93681724	chr1:93681655-93681724	93681655	93681724	69
c1riboseqorf126	ALG14	ENST00000370205	intORF	1B	False	-	chr1	2	28	87	chr1:95065002-95065017+chr1:95072763-95072833	chr1:95065001-95065017;chr1:95072762-95072833	95065001	95072833	7832
c1riboseqorf127	AGL	ENST00000294724	uoORF	4	False	+	chr1	2	27	84	chr1:99850897-99850898+chr1:99850975-99851056	chr1:99850896-99850898;chr1:99850974-99851056	99850896	99851056	160
c1riboseqorf128	LRRC39	ENST00000370137	uoORF	4	False	-	chr1	1	37	114	chr1:100168437-100168550	chr1:100168436-100168550	100168436	100168550	114
c1riboseqorf129	CDC14A	ENST00000336454	uORF	4	False	+	chr1	1	118	357	chr1:100352597-100352953	chr1:100352596-100352953	100352596	100352953	357
c1riboseqorf130	EXTL2	ENST00000370114	uORF	4	False	-	chr1	2	30	93	chr1:100888797-100888828+chr1:100894633-100894693	chr1:100888796-100888828;chr1:100894632-100894693	100888796	100894693	5897
c1riboseqorf131	EXTL2	ENST00000370113	uORF	2B	False	-	chr1	2	27	84	chr1:100888842-100888864+chr1:100894633-100894693	chr1:100888841-100888864;chr1:100894632-100894693	100888841	100894693	5852
c1riboseqorf132	EXTL2	ENST00000370114	uORF	4	False	-	chr1	1	26	81	chr1:100894690-100894770	chr1:100894689-100894770	100894689	100894770	81
c1riboseqorf133	DPH5-DT	ENST00000449473	lncRNA-ORF	4	False	+	chr1	2	17	54	chr1:101085141-101085157+chr1:101086852-101086888	chr1:101085140-101085157;chr1:101086851-101086888	101085140	101086888	1748
c1riboseqorf134	DPH5-DT	ENST00000446527	lncRNA-ORF	1B	False	+	chr1	1	86	261	chr1:101086985-101087245	chr1:101086984-101087245	101086984	101087245	261
c1riboseqorf135	S1PR1	ENST00000305352	uORF	4	False	+	chr1	1	18	57	chr1:101237038-101237094	chr1:101237037-101237094	101237037	101237094	57
c1riboseqorf136	NTNG1	ENST00000370068	uORF	4	False	+	chr1	1	19	60	chr1:107148092-107148151	chr1:107148091-107148151	107148091	107148151	60
c1riboseqorf137	HENMT1	ENST00000370032	uORF	4	False	-	chr1	2	25	78	chr1:108659928-108659962+chr1:108661184-108661226	chr1:108659927-108659962;chr1:108661183-108661226	108659927	108661226	1299
c1riboseqorf138	GPSM2	ENST00000264126	uORF	2B	False	+	chr1	1	16	51	chr1:108885436-108885486	chr1:108885435-108885486	108885435	108885486	51
c1riboseqorf139	CLCC1	ENST00000675508	uORF	2B	False	-	chr1	1	19	60	chr1:108962376-108962435	chr1:108962375-108962435	108962375	108962435	60
c1riboseqorf140	LAMTOR5-AS1	ENST00000457535	lncRNA-ORF	1B	False	+	chr1	2	52	159	chr1:110407865-110407954+chr1:110412173-110412241	chr1:110407864-110407954;chr1:110412172-110412241	110407864	110412241	4377
c1riboseqorf141	DRAM2	ENST00000286692	uORF	2B	False	-	chr1	1	23	72	chr1:111139634-111139705	chr1:111139633-111139705	111139633	111139705	72
c1riboseqorf142	SLC16A1-AS1	ENST00000416193	lncRNA-ORF	1B	False	+	chr1	1	75	228	chr1:112956601-112956828	chr1:112956600-112956828	112956600	112956828	228
c1riboseqorf143	LRIG2	ENST00000361127	uoORF	4	False	+	chr1	1	51	156	chr1:113073270-113073425	chr1:113073269-113073425	113073269	113073425	156
c1riboseqorf144	PHTF1	ENST00000357783	uoORF	4	False	-	chr1	1	46	141	chr1:113758690-113758830	chr1:113758689-113758830	113758689	113758830	141
c1riboseqorf145	PHTF1	ENST00000369604	uORF	1B	False	-	chr1	1	47	144	chr1:113759023-113759166	chr1:113759022-113759166	113759022	113759166	144
c1riboseqorf146	DCLRE1B	ENST00000650450	uORF	4	False	+	chr1	1	24	75	chr1:113905496-113905570	chr1:113905495-113905570	113905495	113905570	75
c1riboseqorf147	HIPK1	ENST00000369558	uORF	4	False	+	chr1	1	24	75	chr1:113929847-113929921	chr1:113929846-113929921	113929846	113929921	75
c1riboseqorf148	DENND2C	ENST00000393274	uORF	4	False	-	chr1	1	23	72	chr1:114626032-114626103	chr1:114626031-114626103	114626031	114626103	72
c1riboseqorf149	NRAS	ENST00000369535	dORF	4	False	-	chr1	1	47	144	chr1:114707734-114707877	chr1:114707733-114707877	114707733	114707877	144
c1riboseqorf150	ATP1A1-AS1	ENST00000369492	lncRNA-ORF	4	False	-	chr1	1	95	288	chr1:116405603-116405890	chr1:116405602-116405890	116405602	116405890	288
c1riboseqorf151	ATP1A1-AS1	ENST00000369491	lncRNA-ORF	4	False	-	chr1	1	35	108	chr1:116406038-116406145	chr1:116406037-116406145	116406037	116406145	108
c1riboseqorf152	IGSF3	ENST00000369486	uORF	4	False	-	chr1	1	18	57	chr1:116666532-116666588	chr1:116666531-116666588	116666531	116666588	57
c1riboseqorf153	IGSF3	ENST00000369486	uORF	4	False	-	chr1	1	38	117	chr1:116666736-116666852	chr1:116666735-116666852	116666735	116666852	117
c1riboseqorf154	MAN1A2	ENST00000356554	uORF	4	False	+	chr1	1	35	108	chr1:117367788-117367895	chr1:117367787-117367895	117367787	117367895	108
c1riboseqorf155	MAN1A2	ENST00000356554	uORF	4	False	+	chr1	1	18	57	chr1:117367850-117367906	chr1:117367849-117367906	117367849	117367906	57
c1riboseqorf156	WARS2-AS1	ENST00000425884	lncRNA-ORF	4	False	+	chr1	1	29	90	chr1:119140499-119140588	chr1:119140498-119140588	119140498	119140588	90
