pair_id	microprotein_gene	microprotein_biotype	microprotein_tier	partner_gene_symbol	partner_uniprot_id	iptm	ptm	binding_mechanism_category	buried_sasa_A2	known_pdb_ppi_overlap_pct	is_active_site_cleft	active_site_min_dist_A	active_site_details	is_binding_site_overlap	binding_site_min_dist_A	partner_domains_contacted	representative_pdb_ids	total_contacts	hbond_count	salt_bridge_count	hydrophobic_count	prodigy_link_density	prodigy_predicted_dg_kcal	microprotein_contact_residues_count	partner_contact_residues_count	microprotein_surface_involvement_pct	mean_interface_pae	aromatic_count	vdw_count	sasa_microprotein_A2	sasa_partner_A2	catalytic_sites_count	binding_sites_count	binding_site_details	known_pdb_interface_residues_count	known_pdb_ppi_overlap_count	partner_plddt	microprotein_plddt
cXriboseqorf59_partner_02_KAT5	MORF4L2	uORF	1B	KAT5	Q92993	0.7119	0.6905	Allosteric Regulatory Surface / Novel Epitope	2129.5	0.0	False	16.57		False	16.67	MYST-type HAT (227-504); Interaction with ATF2 (368-513)		57	12	0	9	0.136	-22.17	19	22	59.4	4.62	0	29	3846.8	30949.7	1	4		0	0	0.71	0.64
c17riboseqorf82_partner_02_ACTB	TMEM99	lncRNA	1B	ACTB	P60709	0.6904	0.9215	Known Macromolecular Subunit Competitor / Adaptor	1223.6	100.0	False			False			3BYH; 3J82; 3LUE; 6ANU; 6LTJ; 6NBW; 7P1H; 7QJ6; 7QJ9; 7VDV	38	2	0	8	0.167	-16.23	12	19	75.0	7.73	0	22	1943.6	17581.9	0	0		264	19	0.91	0.61
c2riboseqorf69_partner_02_TM6SF1	TMEM182	intORF	1B	TM6SF1	Q9BZW5	0.6763	0.8892	Allosteric Regulatory Surface / Novel Epitope	2025.7	0.0	False			False		EXPERA 1 (60-185); EXPERA 2 (216-350)		61	11	0	6	0.113	-4.72	20	27	44.4	5.6	1	29	4638.8	18381.4	0	0		18	0	0.86	0.63
c16norep103_partner_02_PPP3R1	NFATC3	intORF	1B	PPP3R1	P63098	0.6729	0.691	Active Site Cleft Occlusion / Proximal Inhibitor	3228.5	92.7	False			False	7.2	EF-hand 1 (18-46); EF-hand 2 (50-85); EF-hand 3 (87-122); EF-hand 4 (128-163); Calcineurin A binding (131-136)	1AUI; 1M63; 1MF8; 2P6B; 3LL8; 4F0Z; 4OR9; 4ORA; 4ORC; 5SVE	78	6	1	28	0.076	-10.97	25	41	71.4	6.53	1	31	3990.0	10713.3	0	20		72	38	0.71	0.63
c5riboseqorf128_partner_05_CAPN2	PRELID1	uORF	1B	CAPN2	P17655	0.6601	0.8482	Active Site Blocker / Competitive Decoy	1789.3	43.3	True	2.14	 (res 105);  (res 262)	False	14.47	Calpain catalytic (45-344); Domain III (345-514)	2NQA	56	10	1	6	0.124	-7.78	15	30	88.2	8.39	0	27	1995.1	34443.6	3	25		92	13	0.85	0.51
c10norep31_partner_05_PPP1CA	CDC123	intORF	1B	PPP1CA	P62136	0.65	0.8617	Known Macromolecular Subunit Competitor / Adaptor	2266.3	96.8	False	20.78		False	12.86		3EGG; 3EGH; 3HVQ; 3N5U; 3V4Y; 4G9J; 4MOY; 4MP0; 4XPN; 5IOH	62	9	1	9	0.111	-13.15	18	31	62.1	12.92	0	29	4012.8	15713.8	1	8		170	30	0.89	0.43
c12riboseqorf41_partner_03_GAPDH	LINC00938	lncRNA-ORF	1B	GAPDH	P04406	0.65	0.7792	Active Site Blocker / Competitive Decoy	3780.9	41.7	True	3.92	Nucleophile (res 152)	True	2.2	Interaction with WARS1 (2-148)	1U8F; 1ZNQ; 27FM; 3GPD; 4WNC; 4WNI; 6ADE; 6IQ6; 6M61; 6YND	95	21	0	15	0.049	-12.02	40	48	33.3	14.63	1	47	8613.4	15407.8	1	9	 (res 13);  (res 14);  (res 80);  (res 122);  (res 151);  (res 152);  (res 153);  (res 182);  (res 211);  (res 212);  (res 234)	82	20	0.95	0.36
c14norep77_partner_01_NCS1	MAP3K9	uoORF	1A	NCS1	P62166	0.6328	0.5787	Cofactor / Substrate Pocket Competitor	3801.2	30.6	False			True	2.28	EF-hand 1 (24-59); EF-hand 2 (60-95); EF-hand 3 (96-131); EF-hand 4 (144-179); Interaction with IL1RAPL1 (174-190)	8AHY; 8ALH; 8ALM; 9GTO; 9GU8	97	12	1	18	0.055	-10.49	36	49	22.4	11.16	0	44	17480.0	11331.0	0	16	 (res 75);  (res 79);  (res 81);  (res 84)	82	15	0.79	0.44
c3riboseqorf106_partner_04_OTULIN	ZBTB11-AS1	lncRNA-ORF	1B	OTULIN	Q96BN8	0.6321	0.7683	Active Site Blocker / Competitive Decoy	2548.9	72.4	True	3.44	 (res 126);  (res 339)	False		OTU (118-346); Linear diubiquitin binding (95-96); Linear diubiquitin binding (124-126); Linear diubiquitin binding (283-289); Linear diubiquitin binding (336-338)	3ZNZ; 4KSK; 4KSL; 4OYK; 4P0B; 5OE7	69	12	5	5	0.079	0.27	30	29	34.1	6.89	0	32	5386.1	20180.2	3	0		70	21	0.77	0.63
c3riboseqorf171_partner_03_DCUN1D1	ATP11B	uORF	1B	DCUN1D1	Q96GG9	0.6288	0.7666	Known Macromolecular Subunit Competitor / Adaptor	909.6	100.0	False			False		DCUN1 (60-248)	3TDU; 3TDZ; 4P5O; 6B5Q	25	2	1	9	0.333	-9.23	5	15	21.7	2.76	0	12	2732.5	15324.5	0	0		41	15	0.87	0.67
c10riboseqorf41_partner_03_NRF1	TFAM	uoORF	1B	NRF1	Q16656	0.6269	0.2846	Allosteric Regulatory Surface / Novel Epitope	2869.1	0.0	False			False		Dimerization (1-78); Required for transcriptional activation (301-476)		81	10	0	18	0.068	-30.65	32	37	32.3	14.59	0	35	5981.4	29589.5	0	0		81	0	0.56	0.47
c12riboseqorf26_partner_02_NANP	CMAS	uoORF	1B	NANP	Q8TBE9	0.6184	0.8335	Cofactor / Substrate Pocket Competitor	3509.3	18.5	False			True	3.62		2W4M	91	11	3	11	0.058	-5.38	29	54	49.2	10.68	0	50	6608.3	13204.5	0	8	 (res 14);  (res 14);  (res 132);  (res 164)	15	10	0.91	0.47
c7norep212_partner_03_ACTB	OR2A1-AS1	lncRNA-ORF	1B	ACTB	P60709	0.611	0.8596	Known Macromolecular Subunit Competitor / Adaptor	4564.3	92.3	False			False			3BYH; 3J82; 3LUE; 6ANU; 6LTJ; 6NBW; 7P1H; 7QJ6; 7QJ9; 7VDV	122	11	4	17	0.046	-6.89	41	65	68.3	16.89	3	63	6685.7	17247.0	0	0		264	60	0.9	0.45
c22riboseqorf36_partner_03_POMGNT1	LARGE1	uORF	1B	POMGNT1	Q8WZA1	0.5978	0.8022	Cofactor / Substrate Pocket Competitor	2109.9	0.0	False			True	2.08	GG-type lectin (97-258); Catalytic (300-646); Interaction with O-glycosylated substrate glycoprotein (506-512)		49	7	4	5	0.121	-2.52	15	27	88.2	12.03	0	23	2375.7	34761.1	0	10	 (res 310);  (res 311);  (res 506)	13	0	0.85	0.44
c12riboseqorf5_partner_02_HUS1	RHNO1	uoORF	1B	HUS1	O60921	0.5945	0.7536	Shared Physiological Complex Interface	2729.1	58.1	False			False			3A1J; 3G65; 3GGR; 6J8Y; 7Z6H; 8GNN; 8WU8	76	11	0	11	0.072	-24.74	34	31	45.3	14.03	0	37	7258.3	15223.1	0	0		42	18	0.84	0.42
c1riboseqorf289_partner_02_MVD	GGPS1	uORF	1B	MVD	P53602	0.5783	0.8881	Cofactor / Substrate Pocket Competitor	4787.7	0.0	False			True	0.76			159	28	1	19	0.059	-12.33	36	75	80.0	14.86	1	82	4713.1	18202.5	0	4	 (res 23);  (res 24);  (res 26);  (res 78);  (res 156);  (res 157);  (res 158);  (res 161);  (res 212)	22	0	0.88	0.4
c6riboseqorf57_partner_03_RAB17	NUDT3	uORF	1B	RAB17	Q9H0T7	0.5753	0.7263	Cofactor / Substrate Pocket Competitor	1086.6	0.0	False			True	3.48			32	2	0	8	0.171	-15.82	11	17	28.2	5.28	0	15	3587.4	14052.4	0	12	 (res 33);  (res 33);  (res 50);  (res 50);  (res 73);  (res 76);  (res 163)	0	0	0.75	0.63
c10norep31_partner_06_PPP1CB	CDC123	intORF	1B	PPP1CB	P62140	0.5744	0.8558	Allosteric Regulatory Surface / Novel Epitope	1335.5	0.0	False	24.52		False	15.94			33	7	1	8	0.162	-9.08	12	17	41.4	9.06	0	12	3763.1	16799.2	1	7		0	0	0.88	0.38
c20norep33_partner_06_WDR82	ENSG00000275457	lncRNA-ORF	4	WDR82	Q6UXN9	0.5729	0.9237	Allosteric Regulatory Surface / Novel Epitope	2619.0	0.0	False			False				80	15	4	2	0.086	-6.99	25	37	86.2	9.23	1	43	3558.7	13636.6	0	0		0	0	0.91	0.52
c16riboseqorf58_partner_05_ACTR6	SRCAP	uoORF	1B	ACTR6	Q9GZN1	0.5719	0.8536	Known Macromolecular Subunit Competitor / Adaptor	4497.3	79.6	False			False			6IGM; 8X15; 8X19; 8X1C; 9CA7; 9CA8; 9CA9; 9CAA; 9CAB; 9NFV	113	20	5	15	0.058	-9.89	36	54	58.1	16.09	3	44	7420.0	18815.1	0	0		97	43	0.89	0.37
c15norep107_partner_03_FTCD	ST20-MTHFS	uORF	1B	FTCD	O95954	0.5652	0.8211	Active Site Blocker / Competitive Decoy	3016.4	0.0	True	2.69	For formimidoyltransferase activity (res 82)	False		Formiminotransferase N-subdomain (1-181); Formiminotransferase C-subdomain (182-326)		76	10	7	8	0.068	5.3	28	40	53.8	13.76	0	39	4138.1	26552.0	2	0		0	0	0.89	0.32
c7riboseqorf64_partner_05_TMEM120B	TMEM60	uoORF	1B	TMEM120B	A0PK00	0.5578	0.6655	Allosteric Regulatory Surface / Novel Epitope	4350.6	0.0	False			False				104	14	0	13	0.058	-8.14	44	41	57.9	14.08	0	57	6766.6	23783.5	0	0		45	0	0.8	0.38
c3riboseqorf183_partner_02_HDAC1	BCL6	uORF	4	HDAC1	Q13547	0.5572	0.7872	Active Site Blocker / Competitive Decoy	2675.3	56.4	True	3.11	 (res 141)	True	2.49	Histone deacetylase (9-321); Disordered (390-482)	4BKX; 5ICN; 6Z2J; 6Z2K; 7AO8; 7AO9; 7AOA; 8VOJ; 8VPQ; 8VRT	68	12	3	0	0.109	-0.26	16	39	84.2	17.32	0	41	2565.7	22259.8	1	6	 (res 27);  (res 31);  (res 176);  (res 178);  (res 264);  (res 270)	129	22	0.82	0.42
c1riboseqorf209_partner_07_DCAF7	DCAF8	uORF	1B	DCAF7	P61962	0.5549	0.8632	Allosteric Regulatory Surface / Novel Epitope	3497.5	0.0	False			False				98	10	3	14	0.064	-4.58	34	45	81.0	14.52	0	47	4744.3	16471.7	0	0		0	0	0.86	0.41
c1riboseqorf248_partner_07_ACTA1	IVNS1ABP	uORF	1B	ACTA1	P68133	0.5507	0.9022	Shared Physiological Complex Interface	1560.0	58.8	False			False			9DUU; 9DUV	36	2	0	7	0.151	-15.98	14	17	58.3	8.96	2	18	2591.1	17695.2	0	0		91	10	0.9	0.52
c19riboseqorf61_partner_02_ACTB	AC006504.5	lncRNA	1B	ACTB	P60709	0.5452	0.8656	Known Macromolecular Subunit Competitor / Adaptor	2931.9	100.0	False			False			3BYH; 3J82; 3LUE; 6ANU; 6LTJ; 6NBW; 7P1H; 7QJ6; 7QJ9; 7VDV	77	6	0	15	0.079	-7.56	27	36	60.0	12.98	0	36	4536.4	17451.4	0	0		264	36	0.89	0.43
c17riboseqorf58_partner_05_LPCAT2	KIAA0100	intORF	1B	LPCAT2	Q7L5N7	0.5425	0.6275	Allosteric Regulatory Surface / Novel Epitope	5608.1	0.0	False			False	9.15	EF-hand 1 (391-426); EF-hand 2 (428-463)		142	15	4	25	0.041	-15.47	50	69	68.5	16.19	4	59	6702.9	28220.8	0	10		0	0	0.72	0.51
c5riboseqorf95_partner_03_PLK1	FAM53C	uORF	1B	PLK1	P53350	0.5425	0.6138	Known Macromolecular Subunit Competitor / Adaptor	1937.4	90.5	False	50.42		False	35.79	POLO box 1 (410-488); POLO box 2 (510-592); Linker (493-507); Important for interaction with phosphorylated proteins (538-540)	1Q4K; 1UMW; 2OJX; 3BZI; 3C5L; 3FVH; 3HIK; 3P2Z; 3P34; 3P35	49	9	1	2	0.137	-15.75	17	21	77.3	9.93	1	32	2733.0	29635.7	1	5		89	19	0.8	0.43
c13riboseqorf30_partner_02_MLNR	FNDC3A	uORF	1B	MLNR	O43193	0.542	0.6911	Shared Physiological Complex Interface	2137.6	41.7	False			False			8IBV	60	7	0	15	0.139	-8.28	12	36	46.2	6.26	0	25	3331.3	28719.7	0	0		49	15	0.69	0.58
c22riboseqorf54_partner_03_HSPA8	PRR34-AS1	lncRNA	1B	HSPA8	P11142	0.5382	0.6498	Allosteric Regulatory Surface / Novel Epitope	2282.0	5.6	False			False	14.03	Substrate-binding domain (SBD) (394-509); Disordered (614-646)	3AGY; 3AGZ; 3ESK; 4KBQ	71	8	1	9	0.123	-14.68	16	36	69.6	12.81	0	34	2640.1	30879.0	0	12		38	2	0.85	0.46
c8riboseqorf55_partner_03_HSPA8	SNHG6	lncRNA	1B	HSPA8	P11142	0.5365	0.6548	Allosteric Regulatory Surface / Novel Epitope	2354.0	22.2	False			False	8.81	Nucleotide-binding domain (NBD) (2-386); Interaction with BAG1 (186-377); Substrate-binding domain (SBD) (394-509); Disordered (614-646)	3AGY; 3AGZ; 3ESK; 3FZK; 3FZM; 3LDQ; 3M3Z; 4HWI; 4KBQ; 5AQF	62	13	2	7	0.115	-17.56	15	36	65.2	14.14	1	28	3149.6	31060.4	0	12		38	8	0.84	0.47
c1riboseqorf206_partner_01_GNA12	ARHGEF11	uORF	1B	GNA12	Q03113	0.5235	0.7165	Allosteric Regulatory Surface / Novel Epitope	2502.5	7.1	False			False	10.06	G-alpha (56-381); G3 motif (223-232)	7YDJ	64	9	1	13	0.091	-8.27	25	28	59.5	9.19	0	31	5027.6	21586.0	0	6		25	2	0.81	0.52
c3riboseqorf183_partner_06_HDAC3	BCL6	uORF	4	HDAC3	O15379	0.5139	0.8551	Active Site Blocker / Competitive Decoy	1772.0	0.0	True	3.19	 (res 135)	True	2.12	Histone deacetylase (3-316)		62	10	0	1	0.161	-15.62	16	24	84.2	10.42	1	38	2229.5	20209.7	1	7	 (res 21);  (res 172);  (res 259);  (res 265)	20	0	0.87	0.44
c1riboseqorf163_partner_03_HSPA8	LINC01719	lncRNA	1B	HSPA8	P11142	0.5117	0.5913	Allosteric Regulatory Surface / Novel Epitope	2777.5	7.1	False			False	41.79	Substrate-binding domain (SBD) (394-509); Disordered (614-646)	4KBQ	80	7	2	11	0.091	-20.51	21	42	80.8	12.41	0	34	3094.0	33309.4	0	12		38	3	0.83	0.41
c8riboseqorf58_partner_03_HS2ST1	SULF1	uORF	1B	HS2ST1	Q7LGA3	0.5098	0.7372	Active Site Cleft Occlusion / Proximal Inhibitor	1309.9	0.0	False	6.17		False	9.29			37	2	0	4	0.171	-18.66	12	18	36.4	7.58	1	15	4811.6	21749.1	2	12		0	0	0.8	0.54
c17norep109_partner_03_MAP3K7	MAP3K14-AS1	lncRNA-ORF	4	MAP3K7	O43318	0.5028	0.471	Allosteric Regulatory Surface / Novel Epitope	2347.4	3.7	False	27.66		False	32.17	Disordered (443-493)	9NXF	52	5	3	15	0.101	-8.17	19	27	38.0	12.26	0	21	5254.5	41947.3	1	2		12	1	0.62	0.48
c2norep183_partner_02_WASL	NOSTRIN	uORF	4	WASL	O00401	0.609	0.3327	Allosteric Regulatory Surface / Novel Epitope	1093.7	0.0	False		None	False		WH1 (34-141)	None	34	2	1	10	0.179	-11.39	10	19	62.5	9.77	0	16	1972.3	39009.8	0	0	None	70	0	0.62	0.58
c6norep180_partner_03_GOPC	ROS1	uORF	1B	GOPC	Q9HD26	0.7703	0.4052	Shared Physiological Complex Interface	3276.0	40.0	False		None	False		PDZ (288-371)	2LOB; 4E34; 4E35; 4JOE; 4JOF; 4JOG; 4JOH; 4JOJ; 4JOK; 4JOP	88	10	3	10	0.07	-6.46	28	45	77.8	5.95	2	46	4589.5	30114.3	0	0	None	25	18	0.66	0.61
c18norep74_partner_02_BECN1	BCL2	uORF	1B	BECN1	Q14457	0.531	0.4052	Known Macromolecular Subunit Competitor / Adaptor	2266.5	92.6	False		None	False		Interaction with BCL2 and BCL2L1 isoform Bcl-X(L) (112-159)	13BV; 2P1L; 2PON; 3DVU; 4MI8; 5VAU; 5VAX; 5VAY; 6DCN; 6DCO	59	5	1	14	0.115	-10.57	19	27	55.9	9.23	0	31	3728.2	33186.4	0	0	None	223	25	0.73	0.48
c20norep100_partner_02_EXOSC7	HELZ2	uORF	1B	EXOSC7	Q15024	0.7606	0.7801	Known Macromolecular Subunit Competitor / Adaptor	4345.6	74.1	False		None	False		N/A	2NN6; 6D6Q; 6D6R; 6H25; 9G8N; 9G8O; 9G8P	118	15	3	17	0.053	-18.12	41	54	45.6	15.26	0	54	7457.7	15105.9	0	0	None	115	40	0.84	0.4
c1riboseqorf145_partner_03_FEM1B	PHTF1	uORF	1B	FEM1B	Q9UK73	0.5007	0.808	Cofactor / Substrate Pocket Competitor	4310.9	89.3	False		None	True	4.16	N/A	7EL6; 8JE1; 8JE2; 8WQA; 8WQB; 8WQD; 8WQE; 8WQF; 8WQH; 8WQI	117	13	5	10	0.054	-6.7	39	56	83.0	14.79	3	52	4812.4	30732.8	0	4	 (res 186);  (res 186);  (res 218)	228	50	0.87	0.36
c17riboseqorf78_partner_06_IGFALS	IGFBP4	uORF	1B	IGFALS	P35858	0.4992	0.8555	Shared Physiological Complex Interface	1531.2	34.6	False		None	False		N/A	7WRQ	36	1	5	3	0.126	-1.66	11	26	64.7	15.58	1	18	2202.2	28173.8	0	0	None	28	9	0.86	0.35
c8norep43_partner_01_PLEKHA1	PLEKHA2	intORF	1B	PLEKHA1	Q9HB21	0.4992	0.5416	Allosteric Regulatory Surface / Novel Epitope	3251.5	0.0	False		None	False		PH 1 (7-112); PH 2 (191-289); Disordered (291-332)	None	87	7	2	12	0.064	-10.22	30	45	51.7	14.26	2	41	5557.6	29280.3	0	0	None	0	0	0.67	0.48
c3riboseqorf106_partner_10_CBLL1	ZBTB11-AS1	lncRNA-ORF	1B	CBLL1	Q75N03	0.4997	0.2902	Allosteric Regulatory Surface / Novel Epitope	4660.4	0.0	False		None	False		Disordered (1-61); Disordered (255-491)	None	140	20	1	26	0.063	0.07	46	48	52.3	17.06	0	57	6381.1	42112.2	0	0	None	0	0	0.49	0.45
c6norep206_partner_03_HSPA8	ENSG00000226571	lncRNA-ORF	1B	HSPA8	P11142	0.4963	0.613	Allosteric Regulatory Surface / Novel Epitope	3641.8	3.7	False		None	False	34.51	Substrate-binding domain (SBD) (394-509); Disordered (614-646)	4KBQ	92	11	0	15	0.071	-28.5	24	54	72.7	13.6	1	48	4024.1	31341.5	0	12	None	38	2	0.83	0.42
c7riboseqorf18_partner_03_GNAI2	SNX13	uORF	1B	GNAI2	P04899	0.4922	0.8017	Cofactor / Substrate Pocket Competitor	2317.1	21.9	False		None	True	2.41	G-alpha (32-355); G1 motif (35-48); G2 motif (174-182); G3 motif (197-206)	6D9H; 7F8V; 7LD3; 7LD4; 7WV9; 7WVV; 7WVW; 7WVX; 7WVY; 7XXI	61	3	1	15	0.106	-7.18	18	32	34.6	9.59	0	28	6022.8	19141.7	0	7	 (res 40);  (res 41);  (res 42);  (res 43);  (res 46);  (res 179);  (res 181);  (res 202);  (res 203);  (res 204);  (res 205)	76	7	0.87	0.49
c3norep202_partner_03_HDAC1	MECOM	intORF	1B	HDAC1	Q13547	0.4883	0.7788	Known Macromolecular Subunit Competitor / Adaptor	1901.2	66.7	False	10.2	None	False	10.81	Histone deacetylase (9-321); Disordered (390-482)	4BKX; 5ICN; 6Z2J; 6Z2K; 7AO8; 7AO9; 7AOA; 8VOJ; 8VPQ; 8VRT	52	10	0	7	0.108	-10.31	16	30	55.2	16.74	1	22	2990.8	22916.1	1	6	None	129	20	0.81	0.44
c19norep32_partner_01_ALKBH1	ALKBH7	uoORF	1B	ALKBH1	Q13686	0.7161	0.6429	Cofactor / Substrate Pocket Competitor	8957.4	0.0	False		None	True	1.2	Fe2OG dioxygenase (208-347); tRNA-binding (86-389)	None	223	28	3	23	0.022	20.4	86	118	49.7	21.64	3	119	17628.5	20855.8	0	8	 (res 175);  (res 220);  (res 221);  (res 222);  (res 231);  (res 233);  (res 233);  (res 287);  (res 340);  (res 342);  (res 344)	0	0	0.75	0.33
c11riboseqorf31_partner_03_ING5	NAV2-AS2	lncRNA-ORF	4	ING5	Q8WYH8	0.4871	0.4363	Shared Physiological Complex Interface	1602.0	52.6	False		None	False	17.4	N/A	5ME8; 5MTO	38	4	1	9	0.125	-14.14	16	19	51.6	11.56	1	15	3444.9	19637.9	0	8	None	48	10	0.69	0.59
c22riboseqorf17_partner_02_GNAQ	ADORA2A	uORF	1B	GNAQ	P50148	0.4858	0.7905	Cofactor / Substrate Pocket Competitor	2276.7	54.3	False		None	True	3.3	G-alpha (38-359); G1 motif (41-54); G2 motif (178-186); G3 motif (201-210)	24XB; 6VU5; 7DFL; 7EZM; 7F6G; 7F6H; 7F6I; 7F8W; 7W3Z; 7W40	63	2	0	14	0.106	-21.37	17	35	85.0	13.64	0	27	2556.9	19898.9	0	15	 (res 52);  (res 183);  (res 186)	117	19	0.84	0.44
c6riboseqorf128_partner_04_BCL2L1	BCLAF1	uORF	1B	BCL2L1	Q07817	0.4821	0.5598	Known Macromolecular Subunit Competitor / Adaptor	1974.7	100.0	False		None	False		N/A	1BXL; 1G5J; 2B48; 2LP8; 2M04; 2MEJ; 2P1L; 2PON; 2YJ1; 2YQ6	47	2	3	9	0.134	-10.99	14	25	73.7	10.84	1	19	2227.9	14948.1	0	0	None	145	25	0.6	0.49
c6riboseqorf20_partner_01_PLIN2	BTN2A2	uORF	1B	PLIN2	Q99541	0.4825	0.3859	Allosteric Regulatory Surface / Novel Epitope	1879.5	0.0	False		None	False		N/A	None	36	3	2	7	0.12	-16.68	15	20	75.0	14.69	0	15	2255.3	29587.9	0	0	None	0	0	0.59	0.48
c13norep74_partner_02_PROS1	GAS6	uORF	1B	PROS1	P07225	0.484	0.6383	Allosteric Regulatory Surface / Novel Epitope	2920.7	0.0	False		None	False		EGF-like 2; calcium-binding (157-200); EGF-like 3; calcium-binding (201-242); EGF-like 4; calcium-binding (243-283); Laminin G-like 2 (484-666)	None	77	12	0	5	0.092	-13.63	19	44	100.0	16.74	0	40	2716.2	37085.2	0	0	None	19	0	0.78	0.44
c8riboseqorf89_partner_10_RRP9	DCAF13	uORF	2B	RRP9	O43818	0.4856	0.7276	Allosteric Regulatory Surface / Novel Epitope	2377.8	20.7	False		None	False		N/A	7MQ9	58	7	2	5	0.091	-9.25	22	29	36.1	17.82	0	31	6054.2	29585.5	0	0	None	37	6	0.83	0.4
c5riboseqorf75_partner_02_APPBP2	FEM1C	uORF	1B	APPBP2	Q92624	0.4809	0.908	Shared Physiological Complex Interface	3680.4	54.2	False		None	False		N/A	8JAL; 8JAQ; 8JAR; 8JAS; 8JAU; 8JAV	94	16	4	6	0.08	-12.16	20	59	87.0	12.32	0	44	2931.5	27815.0	0	0	None	146	32	0.89	0.32
