uniprot_id	entry_name	gene_symbol	protein_name	pe_level	length
Q6ZV89	SH2D5_HUMAN	SH2D5	SH2 domain-containing protein 5	1	423
Q75T13	PGAP1_HUMAN	PGAP1	GPI inositol-deacylase	1	922
Q7Z4L0	COX8C_HUMAN	COX8C	Cytochrome c oxidase subunit 8C, mitochondrial	1	72
Q86SS6	SYT9_HUMAN	SYT9	Synaptotagmin-9	1	491
Q86TW2	ADCK1_HUMAN	ADCK1	AarF domain-containing protein kinase 1	1	530
Q8IV33	K0825_HUMAN	KIAA0825	Uncharacterized protein KIAA0825	1	1275
Q8IW40	DAA19_HUMAN	DNAAF19	Dynein axonemal assembly factor 19	1	242
Q8IXQ8	PDZD9_HUMAN	PDZD9	PDZ domain-containing protein 9	2	264
Q8IZI9	IFNL3_HUMAN	IFNL3	Interferon lambda-3	1	196
Q8N205	SYNE4_HUMAN	SYNE4	Nesprin-4	1	404
Q8N336	ELMD1_HUMAN	ELMOD1	ELMO domain-containing protein 1	1	334
Q8N729	NPW_HUMAN	NPW	Neuropeptide W	1	165
Q8N823	ZN611_HUMAN	ZNF611	Zinc finger protein 611	1	705
Q8N8U3	RTL3_HUMAN	RTL3	Retrotransposon Gag-like protein 3	2	475
Q8NDN9	RCBT1_HUMAN	RCBTB1	RCC1 and BTB domain-containing protein 1	1	531
Q8NFW5	DMBX1_HUMAN	DMBX1	Diencephalon/mesencephalon homeobox protein 1	1	382
Q8NG08	HELB_HUMAN	HELB	DNA helicase B	1	1087
Q8NH51	OR8K3_HUMAN	OR8K3	Olfactory receptor 8K3	3	312
Q8TEX9	IPO4_HUMAN	IPO4	Importin-4	1	1081
Q8WVL7	ANR49_HUMAN	ANKRD49	Ankyrin repeat domain-containing protein 49	1	239
Q8WWB7	GLMP_HUMAN	GLMP	Glycosylated lysosomal membrane protein	1	406
Q8WWU5	TCP11_HUMAN	TCP11	T-complex protein 11 homolog	1	503
Q8WXS8	ATS14_HUMAN	ADAMTS14	A disintegrin and metalloproteinase with thrombospondin motifs 14	1	1223
Q8WYQ5	DGCR8_HUMAN	DGCR8	Microprocessor complex subunit DGCR8	1	773
Q92504	S39A7_HUMAN	SLC39A7	Zinc transporter SLC39A7	1	469
Q96BR5	COA7_HUMAN	COA7	Cytochrome c oxidase assembly factor 7	1	231
Q96C90	PP14B_HUMAN	PPP1R14B	Protein phosphatase 1 regulatory subunit 14B	1	147
Q96DN6	MBD6_HUMAN	MBD6	Methyl-CpG-binding domain protein 6	1	1003
Q96HQ2	XTBD1_HUMAN	XTBD1	XRN2 binding domain-containing protein 1	1	116
Q96JE9	MAP6_HUMAN	MAP6	Microtubule-associated protein 6	1	813
Q96KN4	LRAT1_HUMAN	LRATD1	Protein LRATD1	1	292
Q96M94	KLH15_HUMAN	KLHL15	Kelch-like protein 15	1	604
Q96MH2	HEXI2_HUMAN	HEXIM2	Protein HEXIM2	1	286
Q96QH8	LYZL5_HUMAN	SPACA5	Sperm acrosome-associated protein 5	1	159
Q96RT1	ERBIN_HUMAN	ERBIN	Erbin	1	1412
Q99990	VGLL1_HUMAN	VGLL1	Transcription cofactor vestigial-like protein 1	1	258
Q9BV40	VAMP8_HUMAN	VAMP8	Vesicle-associated membrane protein 8	1	100
Q9BYJ0	FGFP2_HUMAN	FGFBP2	Fibroblast growth factor-binding protein 2	1	223
Q9H2C1	LHX5_HUMAN	LHX5	LIM/homeobox protein Lhx5	1	402
Q9H346	O52D1_HUMAN	OR52D1	Olfactory receptor 52D1	2	318
Q9H3S5	PIGM_HUMAN	PIGM	GPI alpha-1,4-mannosyltransferase I, catalytic subunit	1	423
Q9H4I9	EMRE_HUMAN	SMDT1	Essential MCU regulator, mitochondrial	1	107
Q9H6T3	RPAP3_HUMAN	RPAP3	RNA polymerase II-associated protein 3	1	665
Q9HCU9	BRMS1_HUMAN	BRMS1	Breast cancer metastasis-suppressor 1	1	246
Q9NRE2	TSH2_HUMAN	TSHZ2	Teashirt homolog 2	1	1034
Q9NVZ3	NECP2_HUMAN	NECAP2	Adaptin ear-binding coat-associated protein 2	1	263
Q9UKT9	IKZF3_HUMAN	IKZF3	Zinc finger protein Aiolos	1	509
Q9ULH4	LRFN2_HUMAN	LRFN2	Leucine-rich repeat and fibronectin type-III domain-containing protein 2	1	789
Q9UN81	LORF1_HUMAN	L1RE1	LINE-1 retrotransposable element ORF1 protein	1	338
Q9Y2U5	M3K2_HUMAN	MAP3K2	Mitogen-activated protein kinase kinase kinase 2	1	619
Q9Y5W8	SNX13_HUMAN	SNX13	Sorting nexin-13	1	968
Q9Y5Z7	HCFC2_HUMAN	HCFC2	Host cell factor 2	1	792
A0A075B6H9	LV469_HUMAN	IGLV4-69	Immunoglobulin lambda variable 4-69	1	119
A0A075B6S6	KVD30_HUMAN	IGKV2D-30	Immunoglobulin kappa variable 2D-30	1	120
A0A0A0MTA4	TJB25_HUMAN	TRBJ2-5	T cell receptor beta joining 2-5	4	15
A0A1B0GVZ9	TM269_HUMAN	TMEM269	Transmembrane protein 269	3	203
A0A286YEV6	SCGR4_HUMAN	SCYGR4	Small cysteine and glycine repeat-containing protein 4	1	105
A2RUT3	TMM89_HUMAN	TMEM89	Transmembrane protein 89	1	159
O00743	PPP6_HUMAN	PPP6C	Serine/threonine-protein phosphatase 6 catalytic subunit	1	305
O15075	DCLK1_HUMAN	DCLK1	Serine/threonine-protein kinase DCLK1	1	740
O43915	VEGFD_HUMAN	VEGFD	Vascular endothelial growth factor D	1	354
O60353	FZD6_HUMAN	FZD6	Frizzled-6	1	706
O75333	TBX10_HUMAN	TBX10	T-box transcription factor TBX10	2	385
O95436	NPT2B_HUMAN	SLC34A2	Sodium-dependent phosphate transport protein 2B	1	690
P06729	CD2_HUMAN	CD2	T-cell surface antigen CD2	1	351
P08833	IBP1_HUMAN	IGFBP1	Insulin-like growth factor-binding protein 1	1	259
P0CE71	OCM2_HUMAN	OCM2	Oncomodulin-2	3	109
P0CJ71	HMN4_HUMAN	MTRNR2L4	Humanin-like 4	2	28
P0DMC3	ELA_HUMAN	APELA	Apelin receptor early endogenous ligand	1	54
P0DPF2	NBPFK_HUMAN	NBPF20	NBPF family member NBPF20	1	5207
P0DSO3	GAGE4_HUMAN	GAGE4	G antigen 4	5	117
P0DV74	F90AH_HUMAN	FAM90A17	Protein FAM90A17	3	464
P10997	IAPP_HUMAN	IAPP	Islet amyloid polypeptide	1	89
P14923	PLAK_HUMAN	JUP	Junction plakoglobin	1	745
P15923	TFE2_HUMAN	TCF3	Transcription factor E2-alpha	1	654
P16591	FER_HUMAN	FER	Tyrosine-protein kinase Fer	1	822
P20292	AL5AP_HUMAN	ALOX5AP	Arachidonate 5-lipoxygenase-activating protein	1	161
P20963	CD3Z_HUMAN	CD247	T-cell surface glycoprotein CD3 zeta chain	1	164
P21453	S1PR1_HUMAN	S1PR1	Sphingosine 1-phosphate receptor 1	1	382
P30566	PUR8_HUMAN	ADSL	Adenylosuccinate lyase	1	484
P36952	SPB5_HUMAN	SERPINB5	Serpin B5	1	375
P51684	CCR6_HUMAN	CCR6	C-C chemokine receptor type 6	1	374
P51811	XK_HUMAN	XK	Endoplasmic reticulum membrane adapter protein XK	1	444
P53007	TXTP_HUMAN	SLC25A1	Tricarboxylate transport protein, mitochondrial	1	311
P62318	SMD3_HUMAN	SNRPD3	Small nuclear ribonucleoprotein Sm D3	1	126
P82675	RT05_HUMAN	MRPS5	Small ribosomal subunit protein uS5m	1	430
Q07890	SOS2_HUMAN	SOS2	Son of sevenless homolog 2	1	1332
Q08999	RBL2_HUMAN	RBL2	Retinoblastoma-like protein 2	1	1139
Q08AH1	ACSM1_HUMAN	ACSM1	Acyl-coenzyme A synthetase ACSM1, mitochondrial	1	577
Q13613	MTMR1_HUMAN	MTMR1	Phosphatidylinositol-3-phosphate phosphatase MTMR1	1	665
Q14410	GLPK2_HUMAN	GK2	Glycerol kinase 2	1	553
Q30KP8	DB136_HUMAN	DEFB136	Defensin beta 136	3	78
Q330K2	NDUF6_HUMAN	NDUFAF6	NADH dehydrogenase (ubiquinone) complex I, assembly factor 6	1	333
Q3B8N2	LEG9B_HUMAN	LGALS9B	Galectin-9B	1	356
Q3B8N5	PROX2_HUMAN	PROX2	Prospero homeobox protein 2	2	592
Q3V5L5	MGT5B_HUMAN	MGAT5B	Alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase B	1	792
Q49AH0	CDNF_HUMAN	CDNF	Cerebral dopamine neurotrophic factor	1	187
Q53GD3	CTL4_HUMAN	SLC44A4	Choline transporter-like protein 4	1	710
Q53RY4	KCP3_HUMAN	KRTCAP3	Keratinocyte-associated protein 3	1	240
Q5H9L4	TAF7L_HUMAN	TAF7L	Transcription initiation factor TFIID subunit 7-like	1	462
Q5JTJ3	COA6_HUMAN	COA6	Cytochrome c oxidase assembly factor 6 homolog	1	125
Q5SVZ6	ZMYM1_HUMAN	ZMYM1	Zinc finger MYM-type protein 1	1	1142
Q68D91	MBLC2_HUMAN	MBLAC2	Acyl-coenzyme A thioesterase MBLAC2	1	279
Q68DI1	ZN776_HUMAN	ZNF776	Zinc finger protein 776	1	518
Q6IPU0	CENPP_HUMAN	CENPP	Centromere protein P	1	288
Q6P582	MZT2A_HUMAN	MZT2A	Mitotic-spindle organizing protein 2A	1	158
Q86TJ5	ZN554_HUMAN	ZNF554	Zinc finger protein 554	1	538
Q8N1L9	BATF2_HUMAN	BATF2	Basic leucine zipper transcriptional factor ATF-like 2	1	274
Q8N335	GPD1L_HUMAN	GPD1L	Glycerol-3-phosphate dehydrogenase 1-like protein	1	351
Q8N813	PR23E_HUMAN	PRR23E	Proline-rich protein 23E	1	242
Q8NA23	WDR31_HUMAN	WDR31	WD repeat-containing protein 31	1	367
Q8NAG6	ANKL1_HUMAN	ANKLE1	Structure-specific endonuclease ANKLE1	1	615
Q8ND90	PNMA1_HUMAN	PNMA1	Paraneoplastic antigen Ma1	1	353
Q8NGE9	OR9Q2_HUMAN	OR9Q2	Olfactory receptor 9Q2	2	314
Q8NGT7	O2A12_HUMAN	OR2A12	Olfactory receptor 2A12	2	310
Q8NI99	ANGL6_HUMAN	ANGPTL6	Angiopoietin-related protein 6	1	470
Q8TDG4	HELQ_HUMAN	HELQ	Helicase POLQ-like	1	1101
Q8WWI1	LMO7_HUMAN	LMO7	LIM domain only protein 7	1	1683
Q8WWW0	RASF5_HUMAN	RASSF5	Ras association domain-containing protein 5	1	418
Q8WYR4	RSPH1_HUMAN	RSPH1	Radial spoke head 1 homolog	1	309
Q969M2	CXA10_HUMAN	GJA10	Gap junction alpha-10 protein	1	543
Q96AQ1	CC74A_HUMAN	CCDC74A	Coiled-coil domain-containing protein 74A	1	378
Q96E52	OMA1_HUMAN	OMA1	Metalloendopeptidase OMA1, mitochondrial	1	524
Q96JB5	CK5P3_HUMAN	CDK5RAP3	CDK5 regulatory subunit-associated protein 3	1	506
Q96KS0	EGLN2_HUMAN	EGLN2	Prolyl hydroxylase EGLN2	1	407
Q96MX6	DAA10_HUMAN	DNAAF10	Dynein axonemal assembly factor 10	1	357
Q96PS8	AQP10_HUMAN	AQP10	Aquaporin-10	1	301
Q96PZ7	CSMD1_HUMAN	CSMD1	CUB and sushi domain-containing protein 1	1	3564
Q99712	KCJ15_HUMAN	KCNJ15	ATP-sensitive inward rectifier potassium channel 15	1	375
Q9BWF3	RBM4_HUMAN	RBM4	RNA-binding protein 4	1	364
Q9BYR2	KRA45_HUMAN	KRTAP4-5	Keratin-associated protein 4-5	1	181
Q9BYV6	TRI55_HUMAN	TRIM55	Tripartite motif-containing protein 55	1	548
Q9BYW2	SETD2_HUMAN	SETD2	Histone-lysine N-methyltransferase SETD2	1	2564
Q9GZW8	MS4A7_HUMAN	MS4A7	Membrane-spanning 4-domains subfamily A member 7	1	240
Q9H6E5	STPAP_HUMAN	TUT1	Speckle targeted PIP5K1A-regulated poly(A) polymerase	1	874
Q9HA64	KT3K_HUMAN	FN3KRP	Ketosamine-3-kinase	1	309
Q9HBT6	CAD20_HUMAN	CDH20	Cadherin-20	1	801
Q9NRY2	SOSSC_HUMAN	INIP	SOSS complex subunit C	1	104
Q9NUJ3	T11L1_HUMAN	TCP11L1	T-complex protein 11-like protein 1	1	509
Q9NYJ7	DLL3_HUMAN	DLL3	Delta-like protein 3	1	618
Q9NYL9	TMOD3_HUMAN	TMOD3	Tropomodulin-3	1	352
Q9P203	BTBD7_HUMAN	BTBD7	BTB/POZ domain-containing protein 7	1	1132
Q9P2D0	IBTK_HUMAN	IBTK	Inhibitor of Bruton tyrosine kinase	1	1353
Q9P2P1	NYNRI_HUMAN	NYNRIN	Protein NYNRIN	1	1898
Q9UH77	KLHL3_HUMAN	KLHL3	Kelch-like protein 3	1	587
Q9UL18	AGO1_HUMAN	AGO1	Protein argonaute-1	1	857
Q9UNS2	CSN3_HUMAN	COPS3	COP9 signalosome complex subunit 3	1	423
Q9Y2K3	MYH15_HUMAN	MYH15	Myosin-15	1	1926
Q9Y2Z4	SYYM_HUMAN	YARS2	Tyrosine--tRNA ligase, mitochondrial	1	477
A0A075B6N4	TVBY1_HUMAN	TRBV25-1	T cell receptor beta variable 25-1	3	114
A2RUR9	C144A_HUMAN	CCDC144A	Coiled-coil domain-containing protein 144A	1	1427
A6NCF6	MA13P_HUMAN	MAGEA13P	Putative MAGE domain-containing protein MAGEA13P	5	341
A6NEQ0	RBY1E_HUMAN	RBMY1E	RNA-binding motif protein, Y chromosome, family 1 member E	1	496
A6NKF7	TM278_HUMAN	TMEM278	Transmembrane protein 278	1	163
B1AJZ9	FHAD1_HUMAN	FHAD1	Forkhead-associated domain-containing protein 1	1	1412
O00253	AGRP_HUMAN	AGRP	Agouti-related protein	1	132
O14901	KLF11_HUMAN	KLF11	Krueppel-like factor 11	1	512
O15226	NKRF_HUMAN	NKRF	NF-kappa-B-repressing factor	1	690
O15244	S22A2_HUMAN	SLC22A2	Solute carrier family 22 member 2	1	555
O43187	IRAK2_HUMAN	IRAK2	Interleukin-1 receptor-associated kinase-like 2	1	625
O43261	LEU1_HUMAN	DLEU1	Leukemia-associated protein 1	1	78
O43283	M3K13_HUMAN	MAP3K13	Mitogen-activated protein kinase kinase kinase 13	1	966
O43731	ERD23_HUMAN	KDELR3	ER lumen protein-retaining receptor 3	1	214
O43766	LIAS_HUMAN	LIAS	Lipoyl synthase, mitochondrial	1	372
O60938	KERA_HUMAN	KERA	Keratocan	1	352
O94923	GLCE_HUMAN	GLCE	D-glucuronyl C5-epimerase	1	617
O95156	NXPH2_HUMAN	NXPH2	Neurexophilin-2	1	264
P07384	CAN1_HUMAN	CAPN1	Calpain-1 catalytic subunit	1	714
P09417	DHPR_HUMAN	QDPR	Dihydropteridine reductase	1	244
P0C860	MS3L2_HUMAN	MSL3B	MSL complex subunit 3B	1	356
P0DMU8	CT455_HUMAN	CT45A5	Cancer/testis antigen family 45 member A5	2	189
P0DOY3	IGLC3_HUMAN	IGLC3	Immunoglobulin lambda constant 3	1	106
P0DPH9	CX05B_HUMAN	CXorf51B	Uncharacterized protein CXorf51B	1	108
P10600	TGFB3_HUMAN	TGFB3	Transforming growth factor beta-3 proprotein	1	412
P12524	MYCL_HUMAN	MYCL	Protein L-Myc	1	364
P15391	CD19_HUMAN	CD19	B-lymphocyte antigen CD19	1	556
P17031	ZNF26_HUMAN	ZNF26	Zinc finger protein 26	1	533
P20774	MIME_HUMAN	OGN	Mimecan	1	298
P23763	VAMP1_HUMAN	VAMP1	Vesicle-associated membrane protein 1	1	118
P28330	ACADL_HUMAN	ACADL	Long-chain specific acyl-CoA dehydrogenase, mitochondrial	1	430
P30837	AL1B1_HUMAN	ALDH1B1	Aldehyde dehydrogenase family 1 member B1, mitochondrial	1	517
P45379	TNNT2_HUMAN	TNNT2	Troponin T, cardiac muscle	1	298
P50747	BPL1_HUMAN	HLCS	Biotin--protein ligase	1	726
P51003	PAPOA_HUMAN	PAPOLA	Poly(A) polymerase alpha	1	745
P52952	NKX25_HUMAN	NKX2-5	Homeobox protein Nkx-2.5	1	324
P57682	KLF3_HUMAN	KLF3	Krueppel-like factor 3	1	345
P58215	LOXL3_HUMAN	LOXL3	Lysyl oxidase homolog 3	1	753
P62891	RL39_HUMAN	RPL39	Large ribosomal subunit protein eL39	1	51
Q07020	RL18_HUMAN	RPL18	Large ribosomal subunit protein eL18	1	188
Q08289	CACB2_HUMAN	CACNB2	Voltage-dependent L-type calcium channel subunit beta-2	1	660
Q13188	STK3_HUMAN	STK3	Serine/threonine-protein kinase 3	1	491
Q17R55	F187B_HUMAN	FAM187B	Protein FAM187B	1	369
Q5H8A4	PIGG_HUMAN	PIGG	GPI ethanolamine phosphate transferase 2, catalytic subunit	1	983
Q5SY68	S1A7B_HUMAN	S100A7L2	Protein S100-A7-like 2	1	101
Q5VWM6	PRA13_HUMAN	PRAMEF13	PRAME family member 13	3	474
Q68CJ9	CR3L3_HUMAN	CREB3L3	Cyclic AMP-responsive element-binding protein 3-like protein 3	1	461
Q6NV75	GP153_HUMAN	GPR153	Probable G protein-coupled receptor 153	1	609
Q6UXV1	IZUM2_HUMAN	IZUMO2	Izumo sperm-egg fusion protein 2	1	221
Q6ZTR5	CFA47_HUMAN	CFAP47	Cilia- and flagella-associated protein 47	1	3187
Q6ZWI9	RFPLB_HUMAN	RFPL4B	Ret finger protein-like 4B	1	263
Q76FK4	NOL8_HUMAN	NOL8	Nucleolar protein 8	1	1167
Q7L8A9	VASH1_HUMAN	VASH1	Tubulinyl-Tyr carboxypeptidase 1	1	365
Q7RTS6	OTOP2_HUMAN	OTOP2	Proton channel OTOP2	1	562
Q7Z3U7	MON2_HUMAN	MON2	Protein MON2 homolog	1	1717
Q7Z4J2	GL6D1_HUMAN	GLT6D1	Putative glycosyltransferase 6 domain-containing protein 1	5	276
Q7Z7K2	ZN467_HUMAN	ZNF467	Zinc finger protein 467	1	595
Q86W33	TPRA1_HUMAN	TPRA1	Transmembrane protein adipocyte-associated 1	1	373
Q86Y46	K2C73_HUMAN	KRT73	Keratin, type II cytoskeletal 73	1	540
Q86Z20	CC125_HUMAN	CCDC125	Coiled-coil domain-containing protein 125	1	511
Q8IUG5	MY18B_HUMAN	MYO18B	Unconventional myosin-XVIIIb	1	2567
Q8IX94	CTGE4_HUMAN	CTAGE4	cTAGE family member 4	2	777
Q8IXI1	MIRO2_HUMAN	RHOT2	Mitochondrial Rho GTPase 2	1	618
Q8IZD4	DCP1B_HUMAN	DCP1B	mRNA-decapping enzyme 1B	1	617
Q8N5G0	SIM20_HUMAN	SMIM20	Small integral membrane protein 20	1	67
Q8NCI6	GLBL3_HUMAN	GLB1L3	Beta-galactosidase-1-like protein 3	1	653
Q8NGB9	OR4F6_HUMAN	OR4F6	Olfactory receptor 4F6	2	312
Q8NH60	O52J3_HUMAN	OR52J3	Olfactory receptor 52J3	3	311
Q8NH64	O51A7_HUMAN	OR51A7	Olfactory receptor 51A7	2	312
Q8TAE7	KCNG3_HUMAN	KCNG3	Voltage-gated potassium channel regulatory subunit KCNG3	1	436
Q8WU66	TSEAR_HUMAN	TSPEAR	Thrombospondin-type laminin G domain and EAR repeat-containing protein	1	669
Q8WV24	PHLA1_HUMAN	PHLDA1	Pleckstrin homology-like domain family A member 1	1	401
Q92569	P55G_HUMAN	PIK3R3	Phosphatidylinositol 3-kinase regulatory subunit gamma	1	461
Q92813	IOD2_HUMAN	DIO2	Type II iodothyronine deiodinase	1	273
Q96B01	R51A1_HUMAN	RAD51AP1	RAD51-associated protein 1	1	352
Q96BY2	MOAP1_HUMAN	MOAP1	Modulator of apoptosis 1	1	351
Q96K80	ZC3HA_HUMAN	ZC3H10	Zinc finger CCCH domain-containing protein 10	1	434
Q96KP4	CNDP2_HUMAN	CNDP2	Cytosolic non-specific dipeptidase	1	475
Q96LS8	CB048_HUMAN	C2orf48	Putative uncharacterized protein C2orf48	5	159
Q96NZ1	FOXN4_HUMAN	FOXN4	Forkhead box protein N4	1	517
Q96PQ1	SIG12_HUMAN	SIGLEC12	Sialic acid-binding Ig-like lectin 12	1	595
Q96R28	OR2M2_HUMAN	OR2M2	Olfactory receptor 2M2	3	347
Q99442	SEC62_HUMAN	SEC62	Translocation protein SEC62	1	399
Q9BR76	COR1B_HUMAN	CORO1B	Coronin-1B	1	489
Q9BRX8	PXL2A_HUMAN	PRXL2A	Peroxiredoxin-like 2A	1	229
Q9BY15	AGRE3_HUMAN	ADGRE3	Adhesion G protein-coupled receptor E3	1	652
Q9BY71	LRRC3_HUMAN	LRRC3	Leucine-rich repeat-containing protein 3	1	257
Q9GZK4	OR2H1_HUMAN	OR2H1	Olfactory receptor 2H1	2	316
Q9GZU8	PIP30_HUMAN	PSME3IP1	PSME3-interacting protein	1	254
Q9NQP4	PFD4_HUMAN	PFDN4	Prefoldin subunit 4	1	134
Q9NRV9	HEBP1_HUMAN	HEBP1	Heme-binding protein 1	1	189
Q9NV06	DCA13_HUMAN	DCAF13	DDB1- and CUL4-associated factor 13	1	445
Q9NX55	HYPK_HUMAN	HYPK	Huntingtin-interacting protein K	1	121
Q9NZJ6	COQ3_HUMAN	COQ3	Ubiquinone biosynthesis O-methyltransferase, mitochondrial	1	369
Q9P2L0	WDR35_HUMAN	WDR35	WD repeat-containing protein 35	1	1181
Q9UET6	TRM7_HUMAN	FTSJ1	tRNA (cytidine(32)/guanosine(34)-2'-O)-methyltransferase	1	329
Q9UJV8	PURG_HUMAN	PURG	Purine-rich element-binding protein gamma	1	347
Q9UL25	RAB21_HUMAN	RAB21	Ras-related protein Rab-21	1	225
Q9Y2U2	KCNK7_HUMAN	KCNK7	Potassium channel subfamily K member 7	1	307
Q9Y6U7	RN215_HUMAN	RNF215	RING finger protein 215	1	377
A0A075B6I9	LV746_HUMAN	IGLV7-46	Immunoglobulin lambda variable 7-46	1	117
A0A0J9YWL9	TX13C_HUMAN	TEX13C	Testis-expressed protein 13C	1	993
A0A1W2PPE2	TFKL4_HUMAN	TAF11L4	TATA-box-binding protein-associated factor 11-like protein 4	2	198
A0FGR8	ESYT2_HUMAN	ESYT2	Extended synaptotagmin-2	1	921
A4D256	CC14C_HUMAN	CDC14C	Dual specificity protein phosphatase CDC14C	1	447
A6NCW7	U17L4_HUMAN	USP17L4	Inactive ubiquitin carboxyl-terminal hydrolase 17-like protein 4	3	530
A6NIH7	U119B_HUMAN	UNC119B	Protein unc-119 homolog B	1	251
A8MVS5	HIDE1_HUMAN	HIDE1	Protein HIDE1	1	230
B0FP48	UPK3L_HUMAN	UPK3BL1	Uroplakin-3b-like protein 1	2	263
C9JI98	TM238_HUMAN	TMEM238	Transmembrane protein 238	1	176
O00469	PLOD2_HUMAN	PLOD2	Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2	1	737
O15371	EIF3D_HUMAN	EIF3D	Eukaryotic translation initiation factor 3 subunit D	1	548
O43820	HYAL3_HUMAN	HYAL3	Hyaluronidase-3	1	417
O75113	N4BP1_HUMAN	N4BP1	NEDD4-binding protein 1	1	896
O75460	ERN1_HUMAN	ERN1	Serine/threonine-protein kinase/endoribonuclease IRE1	1	977
O75907	DGAT1_HUMAN	DGAT1	Diacylglycerol O-acyltransferase 1	1	488
O75971	SNPC5_HUMAN	SNAPC5	snRNA-activating protein complex subunit 5	1	98
O94851	MICA2_HUMAN	MICAL2	[F-actin]-monooxygenase MICAL2	1	1957
O95274	LYPD3_HUMAN	LYPD3	Ly6/PLAUR domain-containing protein 3	1	346
O95455	TGDS_HUMAN	TGDS	UDP-D-glucose 4,6-dehydratase	1	350
O95476	CNEP1_HUMAN	CTDNEP1	CTD nuclear envelope phosphatase 1	1	244
P01871	IGHM_HUMAN	IGHM	Immunoglobulin heavy constant mu	1	474
P04049	RAF1_HUMAN	RAF1	RAF proto-oncogene serine/threonine-protein kinase	1	648
P09543	CN37_HUMAN	CNP	2',3'-cyclic-nucleotide 3'-phosphodiesterase	1	421
P09681	GIP_HUMAN	GIP	Gastric inhibitory polypeptide	1	153
